DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size
2,300,2,-1,50000.0,1,100000.0,99999,20,100,50,2,300,5,1,0.01,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number
1,kein_Terminated,Zeit abgelaufen,0.45,164,-2248.6741856010112,21
2,kein_Terminated,Zeit abgelaufen,0.51,275,-5969.146874094876,21
3,kein_Terminated,Zeit abgelaufen,0.54,272,-5640.235590459178,21
4,kein_Terminated,Zeit abgelaufen,0.43,244,-4491.004860944705,21
5,kein_Terminated,Zeit abgelaufen,0.48,367,-9784.662581110262,21
6,kein_Terminated,Zeit abgelaufen,0.48,363,-9969.937329878187,21
7,kein_Terminated,Zeit abgelaufen,0.46,235,-5349.580661685733,21
8,kein_Terminated,Zeit abgelaufen,0.59,359,-8095.144771921575,21
9,kein_Terminated,Zeit abgelaufen,0.53,203,-3922.257746003599,21
10,kein_Terminated,Zeit abgelaufen,0.48,371,-10159.786156292184,21
11,kein_Terminated,Zeit abgelaufen,0.6,240,-5384.899636969548,21
12,kein_Terminated,Zeit abgelaufen,0.37,443,-18569.130379090777,21
13,kein_Terminated,Zeit abgelaufen,0.61,63,2033.263179841377,21
14,kein_Terminated,Zeit abgelaufen,0.66,155,-555.6218157516435,21
15,kein_Terminated,Zeit abgelaufen,0.38,176,-3961.87981859411,21
16,kein_Terminated,Zeit abgelaufen,0.69,234,-3512.2317839785856,21
17,kein_Terminated,Zeit abgelaufen,0.65,264,-5233.576658560637,21
18,kein_Terminated,Zeit abgelaufen,0.56,121,622.5169556100487,21
19,kein_Terminated,Zeit abgelaufen,0.46,60,1195.0627395139122,21
20,kein_Terminated,Zeit abgelaufen,0.68,146,-614.4637913687309,21
21,kein_Terminated,Zeit abgelaufen,0.55,221,-4666.522857637662,21
22,kein_Terminated,Zeit abgelaufen,0.69,94,2358.086037236723,21
23,kein_Terminated,Zeit abgelaufen,0.51,144,-639.3881019859482,21
24,kein_Terminated,Zeit abgelaufen,0.55,56,1792.8701992503647,21
25,kein_Terminated,Zeit abgelaufen,0.74,106,2140.9582202666197,21
26,kein_Terminated,Zeit abgelaufen,0.7,200,-683.7022557626894,21
27,kein_Terminated,Zeit abgelaufen,0.73,393,-12444.000469209159,21
28,kein_Terminated,Zeit abgelaufen,0.63,143,-504.3355516464227,21
29,kein_Terminated,Zeit abgelaufen,0.47,76,513.134995194982,21
30,kein_Terminated,Zeit abgelaufen,0.69,286,-8732.69207682946,21
31,kein_Terminated,Zeit abgelaufen,0.24,553,-24458.260103501743,21
32,kein_Terminated,Zeit abgelaufen,0.42,240,-4577.833489937221,21
33,kein_Terminated,Zeit abgelaufen,0.79,99,1960.857242532708,21
34,kein_Terminated,Zeit abgelaufen,0.71,117,757.2962587428198,21
35,kein_Terminated,Zeit abgelaufen,0.62,224,-1568.4530189781801,21
36,kein_Terminated,Zeit abgelaufen,0.73,141,1501.1257659551823,21
37,kein_Terminated,Zeit abgelaufen,0.71,146,1280.9427332513242,21
38,kein_Terminated,Zeit abgelaufen,0.55,177,-2644.7650924222103,21
39,kein_Terminated,Zeit abgelaufen,0.64,102,1785.3417381362206,21
40,kein_Terminated,Zeit abgelaufen,0.61,133,1367.5243356197745,21
41,kein_Terminated,Zeit abgelaufen,0.65,387,-13995.606913810965,21
42,kein_Terminated,Zeit abgelaufen,0.56,141,-1429.3759812563962,21
43,kein_Terminated,Zeit abgelaufen,0.54,113,779.0352179800573,21
44,kein_Terminated,Zeit abgelaufen,0.67,153,-224.1145472520634,21
45,kein_Terminated,Zeit abgelaufen,0.7,91,2486.90084608773,21
46,kein_Terminated,Zeit abgelaufen,0.72,142,1620.2948238640465,21
47,kein_Terminated,Zeit abgelaufen,0.39,146,-1414.7516820847281,21
48,kein_Terminated,Zeit abgelaufen,0.56,269,-6113.730419823104,21
49,kein_Terminated,Zeit abgelaufen,0.64,280,-5133.631111436551,21
50,kein_Terminated,Zeit abgelaufen,0.59,54,2710.4738429938425,21
51,kein_Terminated,Zeit abgelaufen,0.4,102,-221.29760700403634,21
52,kein_Terminated,Zeit abgelaufen,0.65,124,1167.0844346389838,21
53,kein_Terminated,Zeit abgelaufen,0.83,173,-73.2275695933516,21
54,kein_Terminated,Zeit abgelaufen,0.42,122,-885.9161341848287,21
55,kein_Terminated,Zeit abgelaufen,0.69,169,-2370.22438814098,21
56,kein_Terminated,Zeit abgelaufen,0.72,100,1805.0286715913392,21
57,kein_Terminated,Zeit abgelaufen,0.39,80,419.7185555262,21
58,kein_Terminated,Zeit abgelaufen,0.69,72,2431.0031824634298,21
59,kein_Terminated,Zeit abgelaufen,0.48,240,-6607.10013600589,21
60,kein_Terminated,Zeit abgelaufen,0.55,162,-2870.1980308095717,21
61,kein_Terminated,Zeit abgelaufen,0.53,31,2589.918364743834,21
62,kein_Terminated,Zeit abgelaufen,0.52,93,1157.8050426365273,21
63,kein_Terminated,Zeit abgelaufen,0.5,146,-1865.2577345460768,21
64,kein_Terminated,Zeit abgelaufen,0.63,129,983.6770246644597,21
65,kein_Terminated,Zeit abgelaufen,0.36,45,589.3803994094147,21
66,kein_Terminated,Zeit abgelaufen,0.61,194,-2664.900707100458,21
67,kein_Terminated,Zeit abgelaufen,0.73,319,-9010.378136040887,21
68,kein_Terminated,Zeit abgelaufen,0.67,135,784.3641483307073,21
69,kein_Terminated,Zeit abgelaufen,0.72,43,3502.3398526979795,21
70,kein_Terminated,Zeit abgelaufen,0.71,95,2742.29429305792,21
71,kein_Terminated,Zeit abgelaufen,0.35,89,903.3900226757409,21
72,kein_Terminated,Zeit abgelaufen,0.3,129,-735.5161967117688,21
73,kein_Terminated,Zeit abgelaufen,0.32,150,-1875.0404224376525,21
74,kein_Terminated,Zeit abgelaufen,0.45,122,159.65044302692047,21
75,kein_Terminated,Zeit abgelaufen,0.53,96,1178.7462551965853,21
76,kein_Terminated,Zeit abgelaufen,0.69,93,2507.0019204164887,21
77,kein_Terminated,Zeit abgelaufen,0.58,64,2433.1117855908997,21
78,kein_Terminated,Zeit abgelaufen,0.47,26,2181.652043164023,21
79,kein_Terminated,Zeit abgelaufen,0.68,33,3697.6592706190786,21
80,kein_Terminated,Zeit abgelaufen,0.59,187,-2607.9641276653424,21
81,kein_Terminated,Zeit abgelaufen,0.76,167,-1139.4473824084582,21
82,kein_Terminated,Zeit abgelaufen,0.67,170,-1499.7581657531512,21
83,kein_Terminated,Zeit abgelaufen,0.76,108,2247.7578584897956,21
1,kein_Terminated,Zeit abgelaufen,0.52,147,1063.1988011011917,21
84,kein_Terminated,Zeit abgelaufen,0.71,103,3072.3324193649664,21
85,kein_Terminated,Zeit abgelaufen,0.73,110,2134.416277798043,21
86,kein_Terminated,Zeit abgelaufen,0.77,127,1863.0440639410049,21
87,kein_Terminated,Zeit abgelaufen,0.76,123,1165.1005543584297,21
88,kein_Terminated,Zeit abgelaufen,0.69,193,-274.79369603931366,21
89,kein_Terminated,Zeit abgelaufen,0.73,92,2319.920405615804,21
90,kein_Terminated,Zeit abgelaufen,0.79,136,1469.827608825247,21
91,kein_Terminated,Zeit abgelaufen,0.71,130,2080.543465527755,21
92,kein_Terminated,Zeit abgelaufen,0.7,44,3490.375403164385,21
93,kein_Terminated,80 Prozent der Fläche wurde erkundet,0.86,163,614.6385331773515,21
94,kein_Terminated,80 Prozent der Fläche wurde erkundet,0.81,123,2718.9287974907998,21
95,kein_Terminated,Zeit abgelaufen,0.7,110,1439.1646078920232,21
96,kein_Terminated,Zeit abgelaufen,0.76,125,2296.374959136906,21
97,kein_Terminated,Zeit abgelaufen,0.76,125,1737.7363287366486,21
98,kein_Terminated,Zeit abgelaufen,0.68,156,424.2538776326663,21
99,kein_Terminated,Zeit abgelaufen,0.74,219,-4150.830801888784,21
100,kein_Terminated,Zeit abgelaufen,0.7,76,2869.756170432998,21
101,kein_Terminated,Zeit abgelaufen,0.63,107,1304.412661014391,21
102,kein_Terminated,Zeit abgelaufen,0.78,118,2379.699514686898,21
103,kein_Terminated,Zeit abgelaufen,0.75,112,1596.5592565237823,21
104,kein_Terminated,80 Prozent der Fläche wurde erkundet,0.8,94,3057.3121233291017,21
105,kein_Terminated,Zeit abgelaufen,0.55,129,278.4651328510402,21
106,kein_Terminated,Zeit abgelaufen,0.78,80,3147.8219012723494,21
107,kein_Terminated,Zeit abgelaufen,0.75,74,2446.922201387514,21
108,kein_Terminated,Zeit abgelaufen,0.78,120,1819.864721219089,21
109,kein_Terminated,Zeit abgelaufen,0.7,64,3315.802227051401,21
110,kein_Terminated,Zeit abgelaufen,0.61,97,1430.8356710102846,21
111,kein_Terminated,Zeit abgelaufen,0.66,29,3490.154652007886,21
112,kein_Terminated,Zeit abgelaufen,0.5,41,2358.712141684654,21
113,kein_Terminated,Zeit abgelaufen,0.62,45,2453.360366579694,21
114,kein_Terminated,Zeit abgelaufen,0.44,50,2104.63499281842,21
115,kein_Terminated,Zeit abgelaufen,0.47,129,-1108.3495714230196,21
116,kein_Terminated,Zeit abgelaufen,0.79,79,2665.585144384073,21
117,kein_Terminated,Zeit abgelaufen,0.53,127,26.465055807527236,21
118,kein_Terminated,Zeit abgelaufen,0.62,87,914.3759436327957,21
119,kein_Terminated,Zeit abgelaufen,0.55,51,1493.0218967420203,21
120,kein_Terminated,Zeit abgelaufen,0.52,41,2073.0795765229914,21
121,kein_Terminated,Zeit abgelaufen,0.55,41,2226.9501918624524,21
122,kein_Terminated,Zeit abgelaufen,0.21,97,-2238.401307380593,21
123,kein_Terminated,Zeit abgelaufen,0.66,54,2930.6885129876755,21
124,kein_Terminated,Zeit abgelaufen,0.63,68,2384.985338525129,21
125,kein_Terminated,Zeit abgelaufen,0.55,36,2266.2379144762267,21
126,kein_Terminated,Zeit abgelaufen,0.59,88,1269.3093642342737,21
127,kein_Terminated,Zeit abgelaufen,0.57,34,2878.7473261442883,21
128,kein_Terminated,Zeit abgelaufen,0.7,98,2419.934614509016,21
129,kein_Terminated,Zeit abgelaufen,0.76,67,3278.7975306178846,21
130,kein_Terminated,Zeit abgelaufen,0.49,248,-5835.193484985311,21
131,kein_Terminated,Zeit abgelaufen,0.61,62,2041.3667144893936,21
132,kein_Terminated,Zeit abgelaufen,0.68,20,3570.3446370251027,21
133,kein_Terminated,Zeit abgelaufen,0.69,209,-1295.722836012232,21
134,kein_Terminated,Zeit abgelaufen,0.73,56,3140.1732457954145,21
135,kein_Terminated,Zeit abgelaufen,0.7,60,2791.1448719145624,21
136,kein_Terminated,80 Prozent der Fläche wurde erkundet,0.81,152,2363.8960085162453,21
137,kein_Terminated,Zeit abgelaufen,0.66,29,3379.9943433982153,21
138,kein_Terminated,Zeit abgelaufen,0.63,75,2655.4999841058157,21
139,kein_Terminated,Zeit abgelaufen,0.64,63,2593.150311087545,21
140,kein_Terminated,Zeit abgelaufen,0.49,105,746.5611751020193,21
141,kein_Terminated,Zeit abgelaufen,0.7,82,1739.4179341201975,21
142,kein_Terminated,Zeit abgelaufen,0.55,136,263.8744673903779,21
143,kein_Terminated,Zeit abgelaufen,0.73,69,3114.210985492748,21
144,kein_Terminated,Zeit abgelaufen,0.64,176,1140.263602867506,21
145,kein_Terminated,Zeit abgelaufen,0.53,127,318.53574009943947,21
146,kein_Terminated,Zeit abgelaufen,0.72,171,-1984.6254988664973,21
147,kein_Terminated,Zeit abgelaufen,0.74,134,56.4932427340873,21
148,kein_Terminated,Zeit abgelaufen,0.57,108,1442.2846220329413,21
149,kein_Terminated,Zeit abgelaufen,0.79,165,560.13057709921,21
150,kein_Terminated,Zeit abgelaufen,0.74,164,350.7789050859358,21
151,kein_Terminated,Zeit abgelaufen,0.78,177,1297.317032853019,21
152,kein_Terminated,Zeit abgelaufen,0.72,65,3527.699055279771,21
153,kein_Terminated,Zeit abgelaufen,0.7,186,-3496.6921659757672,21
154,kein_Terminated,Zeit abgelaufen,0.73,199,-831.2663339777907,21
155,kein_Terminated,Zeit abgelaufen,0.69,74,2152.996584662376,21
156,kein_Terminated,Zeit abgelaufen,0.34,369,-7836.466498417153,21
157,kein_Terminated,Zeit abgelaufen,0.52,48,2080.5108500786655,21
158,kein_Terminated,Zeit abgelaufen,0.56,243,-2109.0870123798522,21
159,kein_Terminated,Zeit abgelaufen,0.56,166,-559.471990284021,21
160,kein_Terminated,Zeit abgelaufen,0.72,83,2441.3676657949677,21
161,kein_Terminated,Zeit abgelaufen,0.63,45,3113.043537158762,21
162,kein_Terminated,Zeit abgelaufen,0.71,195,155.51615008656526,21
163,kein_Terminated,Zeit abgelaufen,0.57,138,1319.9098217673693,21
164,kein_Terminated,Zeit abgelaufen,0.65,114,2074.7612395093247,21
165,kein_Terminated,Zeit abgelaufen,0.62,49,2987.157506215079,21
166,kein_Terminated,Zeit abgelaufen,0.59,334,-11863.368519353438,21
2,kein_Terminated,Zeit abgelaufen,0.35,103,-588.1502114355533,21
