DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,20,8,4,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berÃ¼hrungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.13,349,-9553.5,300.5,0,9,20250413-220656
2,kein_Terminated,Zeit abgelaufen,0.22,158,-3485.5,300.5,0,5,20250413-220717
3,kein_Terminated,Zeit abgelaufen,0.16,213,-948.0,300.5,0,5,20250413-220740
4,kein_Terminated,Zeit abgelaufen,0.08,375,-14340.25,300.5,0,6,20250413-220802
5,kein_Terminated,Zeit abgelaufen,0.15,338,-13017.25,300.5,0,6,20250413-220823
6,kein_Terminated,Zeit abgelaufen,0.17,326,-8964.75,300.5,0,0,20250413-220845
7,kein_Terminated,Zeit abgelaufen,0.2,241,-3922.25,300.5,15,5,20250413-220909
8,kein_Terminated,Zeit abgelaufen,0.11,402,-18034.25,300.5,15,5,20250413-220934
9,kein_Terminated,Zeit abgelaufen,0.1,290,-10332.5,300.5,15,8,20250413-220957
10,kein_Terminated,Zeit abgelaufen,0.2,255,-1072.5,300.5,15,8,20250413-221021
11,kein_Terminated,Zeit abgelaufen,0.12,376,-13215.75,300.5,15,7,20250413-221045
12,kein_Terminated,Zeit abgelaufen,0.15,146,1209.25,300.5,15,7,20250413-221109
13,kein_Terminated,Zeit abgelaufen,0.1,353,-8188.0,300.5,15,1,20250413-221133
14,kein_Terminated,Zeit abgelaufen,0.19,347,-2755.0,300.5,26,6,20250413-221203
15,kein_Terminated,Zeit abgelaufen,0.16,395,-8869.75,300.5,26,6,20250413-221233
16,kein_Terminated,Zeit abgelaufen,0.19,274,-5471.25,300.5,26,7,20250413-221304
17,kein_Terminated,Zeit abgelaufen,0.2,406,-7020.0,300.5,26,7,20250413-221335
18,kein_Terminated,Zeit abgelaufen,0.06,517,-16808.75,300.5,26,4,20250413-221406
19,kein_Terminated,Zeit abgelaufen,0.08,495,-22589.0,300.5,26,4,20250413-221436
20,kein_Terminated,Zeit abgelaufen,0.12,455,-8249.5,300.5,26,3,20250413-221507
21,kein_Terminated,Zeit abgelaufen,0.14,353,-5600.25,300.5,26,6,20250413-221538
22,kein_Terminated,Zeit abgelaufen,0.21,355,-5711.0,300.5,26,6,20250413-221608
23,kein_Terminated,Zeit abgelaufen,0.19,392,-4576.5,300.5,26,1,20250413-221639
24,kein_Terminated,Zeit abgelaufen,0.18,469,-12297.5,300.5,26,1,20250413-221710
25,kein_Terminated,Zeit abgelaufen,0.22,265,-2499.75,300.5,26,8,20250413-221741
26,kein_Terminated,Zeit abgelaufen,0.19,258,-5125.0,300.5,26,8,20250413-221811
27,kein_Terminated,Zeit abgelaufen,0.2,360,-5633.5,300.5,26,6,20250413-221842
28,kein_Terminated,Zeit abgelaufen,0.23,247,-3055.25,300.5,0,2,20250413-221904
29,kein_Terminated,Zeit abgelaufen,0.22,199,658.0,300.5,0,2,20250413-221926
30,kein_Terminated,Zeit abgelaufen,0.21,222,-1461.0,300.5,0,2,20250413-221948
31,kein_Terminated,Zeit abgelaufen,0.19,335,-7713.25,300.5,0,2,20250413-222010
32,kein_Terminated,Zeit abgelaufen,0.19,359,-7282.25,300.5,0,3,20250413-222032
33,kein_Terminated,Zeit abgelaufen,0.18,277,-7140.0,300.5,0,3,20250413-222053
34,kein_Terminated,Zeit abgelaufen,0.17,215,674.5,300.5,0,7,20250413-222116
35,kein_Terminated,Zeit abgelaufen,0.16,340,-7033.75,300.5,8,9,20250413-222138
36,kein_Terminated,Zeit abgelaufen,0.12,381,-8819.5,300.5,8,9,20250413-222200
37,kein_Terminated,Zeit abgelaufen,0.26,256,-1703.75,300.5,8,5,20250413-222222
38,kein_Terminated,Zeit abgelaufen,0.19,346,-7197.5,300.5,8,5,20250413-222245
39,kein_Terminated,Zeit abgelaufen,0.24,316,-3854.0,300.5,8,5,20250413-222308
40,kein_Terminated,Zeit abgelaufen,0.21,249,-2827.5,300.5,8,5,20250413-222331
41,kein_Terminated,Zeit abgelaufen,0.23,292,-4719.25,300.5,8,3,20250413-222353
42,kein_Terminated,Zeit abgelaufen,0.18,344,-6088.5,300.5,8,0,20250413-222416
43,kein_Terminated,Zeit abgelaufen,0.16,336,-8314.75,300.5,8,0,20250413-222438
44,kein_Terminated,Zeit abgelaufen,0.25,299,-3701.25,300.5,8,0,20250413-222500
45,kein_Terminated,Zeit abgelaufen,0.35,315,-310.25,300.5,8,0,20250413-222523
46,kein_Terminated,Zeit abgelaufen,0.11,413,-17361.75,300.5,8,4,20250413-222545
47,kein_Terminated,Zeit abgelaufen,0.18,400,-8885.5,300.5,8,4,20250413-222608
48,kein_Terminated,Zeit abgelaufen,0.3,213,-3871.25,300.5,8,7,20250413-222630
49,kein_Terminated,Zeit abgelaufen,0.25,278,-3238.25,300.5,0,9,20250413-222652
50,kein_Terminated,Zeit abgelaufen,0.22,396,-10957.0,300.5,0,9,20250413-222714
51,kein_Terminated,Zeit abgelaufen,0.2,399,-3462.5,300.5,0,9,20250413-222736
52,kein_Terminated,Zeit abgelaufen,0.24,324,-3471.0,300.5,0,9,20250413-222758
53,kein_Terminated,Zeit abgelaufen,0.24,262,-1403.25,300.5,0,2,20250413-222820
54,kein_Terminated,Zeit abgelaufen,0.37,295,1118.75,300.5,0,2,20250413-222841
55,kein_Terminated,Zeit abgelaufen,0.26,324,-6197.5,300.5,0,8,20250413-222904
56,kein_Terminated,Zeit abgelaufen,0.09,428,-8707.0,300.5,26,4,20250413-222935
57,kein_Terminated,Zeit abgelaufen,0.12,474,-15528.25,300.5,26,4,20250413-223006
58,kein_Terminated,Zeit abgelaufen,0.36,336,-1661.75,300.5,26,6,20250413-223037
59,kein_Terminated,Zeit abgelaufen,0.24,308,-1864.75,300.5,26,6,20250413-223109
60,kein_Terminated,Zeit abgelaufen,0.22,366,-4801.0,300.5,26,3,20250413-223139
61,kein_Terminated,Zeit abgelaufen,0.19,408,-7619.75,300.5,26,3,20250413-223211
62,kein_Terminated,Zeit abgelaufen,0.33,389,-1905.0,300.5,26,3,20250413-223242
63,kein_Terminated,Zeit abgelaufen,0.24,319,-4067.5,300.5,5,9,20250413-223303
64,kein_Terminated,Zeit abgelaufen,0.31,236,2736.0,300.5,5,9,20250413-223324
65,kein_Terminated,Zeit abgelaufen,0.27,350,-5597.75,300.5,5,3,20250413-223345
66,kein_Terminated,Zeit abgelaufen,0.12,555,-18051.75,300.5,5,3,20250413-223406
67,kein_Terminated,Zeit abgelaufen,0.37,279,-1468.75,300.5,5,7,20250413-223427
68,kein_Terminated,Zeit abgelaufen,0.25,438,-6909.25,300.5,5,7,20250413-223448
69,kein_Terminated,Zeit abgelaufen,0.21,361,-2472.5,300.5,5,5,20250413-223508
70,kein_Terminated,Zeit abgelaufen,0.15,419,-10055.5,300.5,8,2,20250413-223531
71,kein_Terminated,Zeit abgelaufen,0.24,252,-383.75,300.5,8,2,20250413-223554
72,kein_Terminated,Zeit abgelaufen,0.28,366,-4547.0,300.5,8,6,20250413-223617
73,kein_Terminated,Zeit abgelaufen,0.22,362,-2731.5,300.5,8,6,20250413-223639
74,kein_Terminated,Zeit abgelaufen,0.17,431,-9053.5,300.5,8,4,20250413-223702
75,kein_Terminated,Zeit abgelaufen,0.26,250,-2078.75,300.5,8,4,20250413-223725
76,kein_Terminated,Zeit abgelaufen,0.29,304,-3741.75,300.5,8,4,20250413-223747
77,kein_Terminated,Zeit abgelaufen,0.31,355,-5230.5,300.5,8,0,20250413-223810
78,kein_Terminated,Zeit abgelaufen,0.33,314,-3536.0,300.5,8,0,20250413-223833
79,kein_Terminated,Zeit abgelaufen,0.09,359,-8795.75,300.5,8,2,20250413-223855
80,kein_Terminated,Zeit abgelaufen,0.27,366,-5545.0,300.5,8,2,20250413-223918
81,kein_Terminated,Zeit abgelaufen,0.18,254,-2502.25,300.5,8,8,20250413-223940
82,kein_Terminated,Zeit abgelaufen,0.24,269,-1387.25,300.5,8,8,20250413-224003
83,kein_Terminated,Zeit abgelaufen,0.37,357,-5961.75,300.5,8,2,20250413-224025
1,kein_Terminated,Zeit abgelaufen,0.03,504,-13090.0,300.5,0,4,20250413-224053
84,kein_Terminated,Zeit abgelaufen,0.23,420,-15970.5,300.5,15,7,20250413-224112
85,kein_Terminated,Zeit abgelaufen,0.13,330,-3995.5,300.5,15,7,20250413-224137
86,kein_Terminated,Zeit abgelaufen,0.18,290,-1075.0,300.5,15,1,20250413-224201
87,kein_Terminated,Zeit abgelaufen,0.2,406,-7053.5,300.5,15,1,20250413-224226
88,kein_Terminated,Zeit abgelaufen,0.23,433,-14427.25,300.5,15,4,20250413-224250
89,kein_Terminated,Zeit abgelaufen,0.14,513,-32545.25,300.5,15,4,20250413-224315
90,kein_Terminated,Zeit abgelaufen,0.14,468,-21773.0,300.5,15,5,20250413-224340
91,kein_Terminated,Zeit abgelaufen,0.25,360,-8183.0,300.5,5,3,20250413-224401
92,kein_Terminated,Zeit abgelaufen,0.36,354,-3571.75,300.5,5,3,20250413-224422
93,kein_Terminated,Zeit abgelaufen,0.18,489,-9853.0,300.5,5,8,20250413-224444
94,kein_Terminated,Zeit abgelaufen,0.25,320,-10085.25,300.5,5,8,20250413-224505
95,kein_Terminated,Zeit abgelaufen,0.29,413,-6985.75,300.5,5,3,20250413-224526
96,kein_Terminated,Zeit abgelaufen,0.35,367,-10433.25,300.5,5,3,20250413-224547
97,kein_Terminated,Zeit abgelaufen,0.15,504,-21621.75,300.5,5,2,20250413-224609
98,kein_Terminated,Zeit abgelaufen,0.26,415,-10481.0,300.5,5,3,20250413-224630
99,kein_Terminated,Zeit abgelaufen,0.4,255,301.75,300.5,5,3,20250413-224651
100,kein_Terminated,Zeit abgelaufen,0.19,508,-12231.75,300.5,5,4,20250413-224712
101,kein_Terminated,Zeit abgelaufen,0.29,355,-13567.25,300.5,5,4,20250413-224733
102,kein_Terminated,Zeit abgelaufen,0.22,481,-18742.75,300.5,5,4,20250413-224754
103,kein_Terminated,Zeit abgelaufen,0.25,337,-8690.75,300.5,5,4,20250413-224816
104,kein_Terminated,Zeit abgelaufen,0.12,574,-16770.0,300.5,5,3,20250413-224837
105,kein_Terminated,Zeit abgelaufen,0.18,405,-5331.25,300.5,8,8,20250413-224900
106,kein_Terminated,Zeit abgelaufen,0.28,478,-16979.25,300.5,8,8,20250413-224923
107,kein_Terminated,Zeit abgelaufen,0.16,312,-2338.5,300.5,8,7,20250413-224946
108,kein_Terminated,Zeit abgelaufen,0.25,292,-4209.0,300.5,8,7,20250413-225009
109,kein_Terminated,Zeit abgelaufen,0.07,482,-12203.75,300.5,8,4,20250413-225031
110,kein_Terminated,Zeit abgelaufen,0.15,463,-10168.25,300.5,8,4,20250413-225054
111,kein_Terminated,Zeit abgelaufen,0.27,315,-1942.75,300.5,8,5,20250413-225116
112,kein_Terminated,Zeit abgelaufen,0.24,390,-12260.25,300.5,15,8,20250413-225141
113,kein_Terminated,Zeit abgelaufen,0.18,510,-36212.75,300.5,15,8,20250413-225205
114,kein_Terminated,Zeit abgelaufen,0.13,485,-7631.25,300.5,15,5,20250413-225230
115,kein_Terminated,Zeit abgelaufen,0.13,461,-5309.25,300.5,15,5,20250413-225255
116,kein_Terminated,Zeit abgelaufen,0.17,402,-2750.25,300.5,15,2,20250413-225319
117,kein_Terminated,Zeit abgelaufen,0.15,349,-1080.0,300.5,15,2,20250413-225344
118,kein_Terminated,Zeit abgelaufen,0.09,450,-3895.0,300.5,15,9,20250413-225409
119,kein_Terminated,Zeit abgelaufen,0.24,475,-6931.0,300.5,26,9,20250413-225440
120,kein_Terminated,Zeit abgelaufen,0.17,540,-12200.0,300.5,26,9,20250413-225511
121,kein_Terminated,Zeit abgelaufen,0.33,446,-12681.25,300.5,26,0,20250413-225543
122,kein_Terminated,Zeit abgelaufen,0.38,337,-2844.25,300.5,26,0,20250413-225614
123,kein_Terminated,Zeit abgelaufen,0.27,260,-928.25,300.5,26,1,20250413-225646
124,kein_Terminated,Zeit abgelaufen,0.39,355,-584.5,300.5,26,1,20250413-225718
125,kein_Terminated,Zeit abgelaufen,0.32,456,-5080.25,300.5,26,5,20250413-225749
126,kein_Terminated,Zeit abgelaufen,0.21,277,-2303.0,300.5,0,8,20250413-225811
127,kein_Terminated,Zeit abgelaufen,0.33,232,1114.5,300.5,0,8,20250413-225834
128,kein_Terminated,Zeit abgelaufen,0.36,385,-1951.0,300.5,0,1,20250413-225856
129,kein_Terminated,Zeit abgelaufen,0.37,311,-2326.75,300.5,0,1,20250413-225918
130,kein_Terminated,Zeit abgelaufen,0.3,278,-632.0,300.5,0,2,20250413-225940
131,kein_Terminated,Zeit abgelaufen,0.36,372,-5295.75,300.5,0,2,20250413-230003
132,kein_Terminated,Zeit abgelaufen,0.38,288,-119.0,300.5,0,2,20250413-230025
133,kein_Terminated,Zeit abgelaufen,0.49,321,-2011.75,300.5,0,0,20250413-230048
134,kein_Terminated,Zeit abgelaufen,0.4,453,-18925.5,300.5,0,0,20250413-230111
135,kein_Terminated,Zeit abgelaufen,0.28,337,-4018.5,300.5,0,8,20250413-230133
136,kein_Terminated,Zeit abgelaufen,0.26,437,-20644.75,300.5,0,8,20250413-230156
137,kein_Terminated,Zeit abgelaufen,0.44,342,-4389.25,300.5,0,3,20250413-230219
138,kein_Terminated,Zeit abgelaufen,0.15,221,-4824.5,300.5,0,3,20250413-230241
139,kein_Terminated,Zeit abgelaufen,0.31,437,-18973.25,300.5,0,3,20250413-230303
140,kein_Terminated,Zeit abgelaufen,0.16,501,-6304.5,300.5,5,2,20250413-230325
141,kein_Terminated,Zeit abgelaufen,0.2,514,-19099.5,300.5,5,2,20250413-230346
142,kein_Terminated,Zeit abgelaufen,0.15,525,-17579.75,300.5,5,1,20250413-230408
143,kein_Terminated,Zeit abgelaufen,0.33,440,-18435.75,300.5,5,1,20250413-230429
144,kein_Terminated,Zeit abgelaufen,0.18,528,-17497.25,300.5,5,7,20250413-230451
145,kein_Terminated,Zeit abgelaufen,0.34,405,-11803.0,300.5,5,7,20250413-230512
146,kein_Terminated,Zeit abgelaufen,0.17,517,-5133.0,300.5,5,2,20250413-230533
147,kein_Terminated,Zeit abgelaufen,0.2,524,-18366.25,300.5,5,7,20250413-230555
148,kein_Terminated,Zeit abgelaufen,0.24,490,-10306.0,300.5,5,7,20250413-230616
149,kein_Terminated,Zeit abgelaufen,0.41,446,-14034.25,300.5,5,1,20250413-230637
150,kein_Terminated,Zeit abgelaufen,0.35,371,-7846.5,300.5,5,1,20250413-230658
151,kein_Terminated,Zeit abgelaufen,0.12,558,-4088.25,300.5,5,9,20250413-230720
152,kein_Terminated,Zeit abgelaufen,0.3,408,-19685.75,300.5,5,9,20250413-230741
153,kein_Terminated,Zeit abgelaufen,0.28,433,-27985.75,300.5,5,0,20250413-230803
154,kein_Terminated,Zeit abgelaufen,0.2,366,-4969.75,300.5,15,4,20250413-230828
155,kein_Terminated,Zeit abgelaufen,0.13,551,-50747.5,300.5,15,4,20250413-230853
156,kein_Terminated,Zeit abgelaufen,0.14,567,-32033.5,300.5,15,8,20250413-230918
157,kein_Terminated,Zeit abgelaufen,0.15,419,-14520.5,300.5,15,8,20250413-230943
158,kein_Terminated,Zeit abgelaufen,0.35,455,-18834.75,300.5,15,1,20250413-231008
159,kein_Terminated,Zeit abgelaufen,0.07,582,-11985.5,300.5,15,1,20250413-231033
160,kein_Terminated,Zeit abgelaufen,0.09,452,-2283.0,300.5,15,9,20250413-231059
161,kein_Terminated,Zeit abgelaufen,0.19,535,-30753.0,300.5,8,6,20250413-231122
162,kein_Terminated,Zeit abgelaufen,0.11,289,-11324.75,300.5,8,6,20250413-231145
163,kein_Terminated,Zeit abgelaufen,0.28,453,-32542.75,300.5,8,6,20250413-231209
164,kein_Terminated,Zeit abgelaufen,0.39,349,-8261.25,300.5,8,6,20250413-231232
165,kein_Terminated,Zeit abgelaufen,0.3,316,-2735.0,300.5,8,6,20250413-231255
166,kein_Terminated,Zeit abgelaufen,0.18,442,-15268.75,300.5,8,6,20250413-231319
2,kein_Terminated,Zeit abgelaufen,0.09,309,-6599.25,300.5,0,1,20250413-231346
167,kein_Terminated,Zeit abgelaufen,0.09,398,-8453.5,300.5,8,2,20250413-231403
168,kein_Terminated,Zeit abgelaufen,0.16,523,-4055.25,300.5,5,8,20250413-231425
169,kein_Terminated,Zeit abgelaufen,0.11,483,-4635.25,300.5,5,8,20250413-231446
170,kein_Terminated,Zeit abgelaufen,0.11,554,-14161.75,300.5,5,8,20250413-231507
171,kein_Terminated,Zeit abgelaufen,0.15,548,-26981.5,300.5,5,8,20250413-231529
172,kein_Terminated,Zeit abgelaufen,0.26,420,-10497.75,300.5,5,7,20250413-231551
173,kein_Terminated,Zeit abgelaufen,0.26,334,33.0,300.5,5,7,20250413-231612
